=== Sheet: Common ===
 | Mã ibom | Mô tả | Mã sản phẩm | Nhãn hiệu | Đơn vị | Ghi chú | Làm rõ logic |  | 
 |  | Co nhiệt cho thanh cái 30x10 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-40x8 | Bus 40x8 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x8 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x8 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x8 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x8 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-40x10 | Bus 40x10 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x10 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x10 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x10 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 40x10 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-50x6 | Bus 50x6 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x6 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x6 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x6 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x6 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-50x8 | Bus 50x8 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x8 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x8 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x8 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x8 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-50x10 | Bus-50x10 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x10 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x10 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x10 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 50x10 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-80x8 | Bus 80x8 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x8 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x8 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x8 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x8 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | TD-80x10 | Bus 80x10 |  | Asia | m |  | Chỉ hiển thị khi chọn CB tổng tương ứng, quy ước xem sheet busbar; số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x10 đỏ |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x10 vàng |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x10 xanh dương |  | Asia | m |  | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Co nhiệt cho thanh cái 80x10 đen |  | Asia | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 | EL-130 | Thanh đỡ Busbar 4 rãnh, rãnh 10mm | EL-130 | China | Cái |  | Chỉ sử dụng khi CB tổng là ACB (mặc định =0)-->số lượng tùy chọn theo số lượng cực ACB, ví dụ ACB 3 cực, số lượng =3; ACB 4 cực, số lượng =4 |  | 
